id_venta,fecha,id_cliente,pais,sucursal,producto,categoria,cantidad,precio_unitario,canal,metodo_pago
28,2026-01-10,93966,Estados Unidos,Sucursal-4,Monitor 24,Monitores,5,1470.05,Web,Efectivo
29,2025-03-03,48150,Mexico,Sucursal-5,Monitor 24,Monitores,2,1154.52,App,Tarjeta
30,2025-01-28,34150,Honduras,Sucursal-18,Laptop Pro 14,Computadoras,2,7937.28,Web,PayPal
31,2025-07-13,20117,El Salvador,Sucursal-23,Impresora Laser,Impresion,1,1349.01,Web,Transferencia
32,2026-02-03,61053,Mexico,Sucursal-10,Router WiFi 6,Redes,4,718.19,Tienda,PayPal
33,2026-02-02,31344,Honduras,Sucursal-22,Router WiFi 6,Redes,4,743.81,App,Efectivo
34,2025-04-16,54967,Mexico,Sucursal-10,Teclado Mecanico,Accesorios,8,520.84,Web,Tarjeta
35,2025-06-03,27355,Mexico,Sucursal-5,Mouse Gamer X,Accesorios,4,214.39,App,PayPal
36,2025-05-01,70853,Estados Unidos,Sucursal-24,SSD 1TB,Almacenamiento,1,701.01,Tienda,PayPal
37,2025-11-16,6912,Mexico,Sucursal-23,Laptop Pro 14,Computadoras,8,8614.31,App,Efectivo
38,2025-10-25,90386,Estados Unidos,Sucursal-18,Silla Ergonomica,Muebles,7,1631.06,App,Transferencia
39,2025-04-02,25045,El Salvador,Sucursal-3,Silla Ergonomica,Muebles,7,1429.98,App,PayPal
40,2025-06-07,89192,Mexico,Sucursal-9,Router WiFi 6,Redes,5,802.71,Tienda,Efectivo
41,2025-07-27,85720,Guatemala,Sucursal-17,USB 64GB,Almacenamiento,3,71.44,App,Transferencia
42,2026-03-16,64861,Guatemala,Sucursal-5,Audifonos BT,Audio,8,359.24,Marketplace,Efectivo
43,2026-03-25,96622,Mexico,Sucursal-3,USB 64GB,Almacenamiento,4,88.92,App,Efectivo
44,2025-10-22,60299,Honduras,Sucursal-23,Mouse Gamer X,Accesorios,2,213.13,Marketplace,Transferencia
45,2025-07-27,75119,Guatemala,Sucursal-28,Teclado Mecanico,Accesorios,5,408.76,Web,Tarjeta
46,2026-01-22,74945,Guatemala,Sucursal-13,Silla Ergonomica,Muebles,3,1500.05,App,Efectivo
47,2025-09-11,9908,Mexico,Sucursal-7,USB 64GB,Almacenamiento,4,64.37,App,PayPal
48,2026-01-25,35102,Estados Unidos,Sucursal-1,Router WiFi 6,Redes,2,775.29,App,PayPal
49,2026-04-21,100367,Estados Unidos,Sucursal-7,Silla Ergonomica,Muebles,4,1835.84,Tienda,Tarjeta
50,2026-04-22,112725,Guatemala,Sucursal-17,USB 64GB,Almacenamiento,4,76.35,Web,PayPal
51,2026-05-13,36544,Honduras,Sucursal-8,SSD 1TB,Almacenamiento,2,706.66,Web,PayPal
52,2025-05-26,2347,El Salvador,Sucursal-2,SSD 1TB,Almacenamiento,7,774.96,Tienda,Tarjeta
53,2025-12-06,116340,Mexico,Sucursal-2,Silla Ergonomica,Muebles,6,1380.63,App,Transferencia
54,2025-07-05,94017,El Salvador,Sucursal-29,Impresora Laser,Impresion,1,1388.68,Marketplace,PayPal
55,2025-09-18,29171,Mexico,Sucursal-30,Monitor 24,Monitores,4,1130.5,Web,Efectivo
56,2025-09-06,117110,Guatemala,Sucursal-7,Audifonos BT,Audio,1,348.3,Web,Transferencia
57,2025-10-19,73115,Guatemala,Sucursal-13,Laptop Pro 14,Computadoras,5,8458.75,Web,Efectivo
58,2026-03-07,40741,Honduras,Sucursal-18,Audifonos BT,Audio,4,331.87,Web,PayPal
59,2025-02-20,47201,Estados Unidos,Sucursal-18,Monitor 24,Monitores,7,1385.05,Tienda,PayPal
60,2026-02-19,107314,Guatemala,Sucursal-10,Monitor 24,Monitores,7,1238.39,Web,Tarjeta
61,2025-07-21,54080,Mexico,Sucursal-21,Audifonos BT,Audio,4,285.78,Web,PayPal
62,2025-10-16,69458,Honduras,Sucursal-22,Audifonos BT,Audio,8,302.09,App,Transferencia
63,2026-02-27,72350,Estados Unidos,Sucursal-3,Monitor 24,Monitores,6,1339.42,Tienda,Tarjeta
64,2025-02-11,23311,Honduras,Sucursal-6,Silla Ergonomica,Muebles,1,1822.21,Web,Efectivo
65,2025-06-22,59611,Honduras,Sucursal-4,Laptop Pro 14,Computadoras,3,9220.56,Marketplace,Transferencia
66,2025-08-13,26380,El Salvador,Sucursal-27,Monitor 24,Monitores,6,1412.37,Marketplace,Tarjeta
67,2026-03-20,59458,Mexico,Sucursal-19,Impresora Laser,Impresion,7,1579.74,Web,PayPal
68,2025-02-12,94720,Estados Unidos,Sucursal-21,Teclado Mecanico,Accesorios,8,404.74,Web,Transferencia
69,2026-03-07,97379,Guatemala,Sucursal-1,SSD 1TB,Almacenamiento,7,736.34,App,PayPal
70,2025-02-13,113793,Estados Unidos,Sucursal-4,Router WiFi 6,Redes,5,646.2,Tienda,PayPal
71,2026-05-01,41291,Honduras,Sucursal-5,Audifonos BT,Audio,8,304.7,Web,Efectivo
72,2025-08-24,21169,Honduras,Sucursal-1,Monitor 24,Monitores,4,1378.22,Web,Efectivo
73,2026-03-29,71511,Mexico,Sucursal-24,Audifonos BT,Audio,6,345.86,App,Efectivo
74,2025-01-29,23759,Mexico,Sucursal-12,Mouse Gamer X,Accesorios,1,175.22,App,PayPal
75,2025-08-15,103,El Salvador,Sucursal-16,Teclado Mecanico,Accesorios,8,443.38,Web,Transferencia
76,2025-10-17,26120,El Salvador,Sucursal-20,Teclado Mecanico,Accesorios,8,495.83,App,PayPal
77,2026-03-23,85279,El Salvador,Sucursal-25,Silla Ergonomica,Muebles,7,1837.1,Tienda,Efectivo
78,2025-02-26,100509,Mexico,Sucursal-27,Audifonos BT,Audio,1,312.78,Marketplace,PayPal
79,2025-06-24,112827,Honduras,Sucursal-25,Impresora Laser,Impresion,8,1443.23,Tienda,Transferencia
80,2025-12-20,39245,Estados Unidos,Sucursal-6,Laptop Pro 14,Computadoras,4,9630.0,Tienda,PayPal
81,2025-02-20,83622,El Salvador,Sucursal-19,SSD 1TB,Almacenamiento,2,778.57,Web,Tarjeta
82,2025-11-04,72962,El Salvador,Sucursal-28,SSD 1TB,Almacenamiento,8,641.77,Web,PayPal
83,2026-03-28,93232,Mexico,Sucursal-7,SSD 1TB,Almacenamiento,4,645.47,App,PayPal
84,2025-10-14,88204,Mexico,Sucursal-26,Impresora Laser,Impresion,4,1708.9,Marketplace,PayPal
85,2025-04-12,18140,Guatemala,Sucursal-15,USB 64GB,Almacenamiento,6,87.06,App,Tarjeta
86,2025-08-29,22809,Guatemala,Sucursal-5,USB 64GB,Almacenamiento,3,86.36,Web,PayPal
87,2025-10-06,54073,Mexico,Sucursal-20,USB 64GB,Almacenamiento,1,88.82,Web,PayPal
88,2025-03-21,7103,Guatemala,Sucursal-7,Teclado Mecanico,Accesorios,3,468.19,Tienda,PayPal
89,2025-08-18,31373,Estados Unidos,Sucursal-22,Audifonos BT,Audio,7,372.7,Web,PayPal
90,2025-11-17,31067,Mexico,Sucursal-20,Teclado Mecanico,Accesorios,7,460.58,Marketplace,Transferencia
91,2026-01-26,24806,Guatemala,Sucursal-15,SSD 1TB,Almacenamiento,3,744.91,Web,Tarjeta
92,2026-01-03,44432,Mexico,Sucursal-17,Teclado Mecanico,Accesorios,2,402.18,App,Tarjeta
93,2025-04-10,10049,Guatemala,Sucursal-14,Mouse Gamer X,Accesorios,5,183.16,Marketplace,Efectivo
94,2025-02-01,16609,Guatemala,Sucursal-30,Router WiFi 6,Redes,3,623.5,App,Efectivo
95,2025-07-10,4753,Honduras,Sucursal-18,Impresora Laser,Impresion,5,1557.66,Web,PayPal
96,2026-01-06,2277,Estados Unidos,Sucursal-30,Mouse Gamer X,Accesorios,3,206.47,App,PayPal
97,2026-03-14,80513,Honduras,Sucursal-17,Mouse Gamer X,Accesorios,6,187.73,App,Tarjeta
98,2025-03-15,48566,Mexico,Sucursal-9,Monitor 24,Monitores,8,1098.05,Web,PayPal
99,2025-10-26,45869,El Salvador,Sucursal-1,SSD 1TB,Almacenamiento,6,737.77,App,Transferencia
100,2025-09-20,4628,Honduras,Sucursal-4,Monitor 24,Monitores,3,1172.18,App,Transferencia
101,2025-03-27,27289,Mexico,Sucursal-27,USB 64GB,Almacenamiento,5,65.6,Marketplace,PayPal
102,2025-08-23,46908,Estados Unidos,Sucursal-27,Audifonos BT,Audio,2,365.85,Tienda,PayPal
103,2025-01-20,57494,Honduras,Sucursal-11,Teclado Mecanico,Accesorios,7,410.29,App,Efectivo
104,2026-02-20,38344,El Salvador,Sucursal-29,Teclado Mecanico,Accesorios,3,518.58,Tienda,PayPal
105,2025-01-25,84017,Estados Unidos,Sucursal-10,SSD 1TB,Almacenamiento,3,663.84,Web,Tarjeta
106,2025-12-16,52555,Honduras,Sucursal-4,USB 64GB,Almacenamiento,2,75.43,Marketplace,PayPal
107,2025-05-26,16923,Honduras,Sucursal-18,Laptop Pro 14,Computadoras,8,9415.72,Marketplace,PayPal
108,2025-06-04,65244,Estados Unidos,Sucursal-7,Laptop Pro 14,Computadoras,1,7369.34,Tienda,Tarjeta
109,2026-01-22,97556,Honduras,Sucursal-7,USB 64GB,Almacenamiento,7,72.66,App,Efectivo
110,2026-04-26,19724,Guatemala,Sucursal-28,Silla Ergonomica,Muebles,6,1523.05,Web,Tarjeta
111,2026-02-05,35535,El Salvador,Sucursal-26,USB 64GB,Almacenamiento,4,85.21,Marketplace,PayPal
112,2025-12-31,6280,Honduras,Sucursal-19,Teclado Mecanico,Accesorios,5,504.54,Web,Transferencia
113,2026-05-03,92303,Honduras,Sucursal-17,Silla Ergonomica,Muebles,8,1396.82,Web,Transferencia
114,2026-01-03,50268,Estados Unidos,Sucursal-5,Laptop Pro 14,Computadoras,2,8536.68,Web,Tarjeta
115,2026-02-08,66988,Honduras,Sucursal-6,Mouse Gamer X,Accesorios,5,164.45,Tienda,Transferencia
116,2026-03-14,108986,Honduras,Sucursal-2,Teclado Mecanico,Accesorios,2,389.0,Web,PayPal
117,2025-05-27,16863,El Salvador,Sucursal-5,Mouse Gamer X,Accesorios,2,181.02,Tienda,Efectivo
118,2025-08-13,34007,Honduras,Sucursal-25,SSD 1TB,Almacenamiento,4,708.18,Tienda,Tarjeta
119,2025-07-10,57629,Guatemala,Sucursal-22,Router WiFi 6,Redes,5,714.59,Web,Tarjeta
120,2025-05-14,21052,Guatemala,Sucursal-25,USB 64GB,Almacenamiento,6,87.21,Marketplace,PayPal
121,2025-08-08,117054,Honduras,Sucursal-21,USB 64GB,Almacenamiento,2,87.0,Tienda,Efectivo
122,2025-11-22,26107,El Salvador,Sucursal-20,SSD 1TB,Almacenamiento,4,573.61,Tienda,PayPal
123,2026-02-21,89758,Mexico,Sucursal-20,Router WiFi 6,Redes,5,687.38,Marketplace,Efectivo
124,2025-10-03,118976,El Salvador,Sucursal-12,Silla Ergonomica,Muebles,4,1523.59,Tienda,Efectivo
125,2025-07-18,106361,Guatemala,Sucursal-28,SSD 1TB,Almacenamiento,8,770.32,Marketplace,Tarjeta
126,2026-01-27,51545,Honduras,Sucursal-24,SSD 1TB,Almacenamiento,2,624.43,Web,Tarjeta
127,2025-03-24,20975,Mexico,Sucursal-27,Silla Ergonomica,Muebles,7,1501.44,Tienda,Efectivo
128,2026-03-17,82054,El Salvador,Sucursal-29,Mouse Gamer X,Accesorios,7,159.46,Marketplace,PayPal
129,2026-03-24,92109,Honduras,Sucursal-15,Laptop Pro 14,Computadoras,6,7516.53,Tienda,Tarjeta
130,2025-01-04,119341,Guatemala,Sucursal-27,Mouse Gamer X,Accesorios,1,209.7,Marketplace,PayPal
131,2025-03-31,29829,Guatemala,Sucursal-8,Monitor 24,Monitores,6,1462.41,App,Efectivo
132,2025-12-07,27753,Honduras,Sucursal-21,USB 64GB,Almacenamiento,3,83.81,Marketplace,Tarjeta
133,2025-01-05,78788,Guatemala,Sucursal-6,Audifonos BT,Audio,8,314.14,Marketplace,Efectivo
134,2026-02-13,10848,Estados Unidos,Sucursal-6,Audifonos BT,Audio,8,343.12,App,Tarjeta
135,2025-03-18,10250,Guatemala,Sucursal-20,Audifonos BT,Audio,7,359.6,Web,Tarjeta
136,2026-03-04,91444,Mexico,Sucursal-19,Router WiFi 6,Redes,5,737.85,App,PayPal
137,2025-09-22,117726,Estados Unidos,Sucursal-25,Monitor 24,Monitores,2,1200.84,Tienda,Transferencia
138,2025-08-22,58798,Guatemala,Sucursal-5,SSD 1TB,Almacenamiento,7,616.72,Marketplace,PayPal
139,2025-06-24,66879,Guatemala,Sucursal-11,USB 64GB,Almacenamiento,7,72.45,App,Tarjeta
140,2025-02-04,49337,El Salvador,Sucursal-16,Teclado Mecanico,Accesorios,1,475.08,Marketplace,Tarjeta
141,2025-09-23,56354,Mexico,Sucursal-13,Monitor 24,Monitores,8,1279.76,Tienda,Transferencia
142,2025-04-22,1984,El Salvador,Sucursal-14,Silla Ergonomica,Muebles,3,1703.9,Marketplace,Transferencia
143,2025-09-18,18902,Mexico,Sucursal-6,Impresora Laser,Impresion,7,1650.94,Marketplace,Efectivo
144,2026-04-09,64089,El Salvador,Sucursal-16,SSD 1TB,Almacenamiento,1,633.52,Marketplace,Efectivo
145,2025-03-05,1151,Guatemala,Sucursal-23,USB 64GB,Almacenamiento,1,79.69,Marketplace,PayPal
146,2025-01-04,54760,Honduras,Sucursal-6,Silla Ergonomica,Muebles,8,1397.69,App,Transferencia
147,2025-11-16,17238,Honduras,Sucursal-25,USB 64GB,Almacenamiento,2,76.05,App,Transferencia
148,2026-02-12,6511,Honduras,Sucursal-6,Audifonos BT,Audio,8,373.79,Tienda,Transferencia
149,2025-04-13,94541,Mexico,Sucursal-10,Router WiFi 6,Redes,7,804.27,Tienda,Tarjeta
150,2025-02-28,29842,Mexico,Sucursal-27,Monitor 24,Monitores,2,1445.97,Tienda,Tarjeta
151,2026-03-31,12466,Honduras,Sucursal-4,Silla Ergonomica,Muebles,5,1440.0,Web,Transferencia
152,2026-01-20,91060,Mexico,Sucursal-28,Teclado Mecanico,Accesorios,4,390.55,App,Efectivo
153,2025-01-14,37966,El Salvador,Sucursal-21,Audifonos BT,Audio,5,306.93,Web,Tarjeta
154,2025-03-14,105336,Estados Unidos,Sucursal-28,Mouse Gamer X,Accesorios,6,158.81,Web,Transferencia
155,2025-07-15,106891,El Salvador,Sucursal-21,Laptop Pro 14,Computadoras,8,9669.6,Tienda,Transferencia
156,2025-05-27,43638,El Salvador,Sucursal-28,SSD 1TB,Almacenamiento,7,672.95,Web,Efectivo
157,2025-05-12,83287,Honduras,Sucursal-24,Teclado Mecanico,Accesorios,8,422.98,Web,Transferencia
158,2025-02-11,76420,El Salvador,Sucursal-2,Audifonos BT,Audio,2,354.01,Web,Efectivo
159,2025-03-16,67507,Mexico,Sucursal-23,Laptop Pro 14,Computadoras,8,10004.36,Marketplace,Efectivo
160,2025-07-09,7835,Estados Unidos,Sucursal-22,Teclado Mecanico,Accesorios,2,466.8,App,Efectivo
161,2025-06-20,21034,El Salvador,Sucursal-17,Monitor 24,Monitores,8,1429.26,Web,PayPal
162,2026-04-06,57377,Mexico,Sucursal-3,USB 64GB,Almacenamiento,1,71.43,Tienda,Efectivo
163,2025-06-20,113680,Estados Unidos,Sucursal-2,Mouse Gamer X,Accesorios,8,167.75,Marketplace,Transferencia
164,2025-04-27,72541,Mexico,Sucursal-30,Router WiFi 6,Redes,8,666.21,Marketplace,Tarjeta
165,2025-04-16,34077,El Salvador,Sucursal-20,Laptop Pro 14,Computadoras,4,8935.03,Tienda,Efectivo
166,2025-04-11,57599,El Salvador,Sucursal-27,USB 64GB,Almacenamiento,5,79.51,App,Efectivo
167,2025-05-18,92105,Estados Unidos,Sucursal-12,SSD 1TB,Almacenamiento,4,584.96,Web,PayPal
168,2025-09-05,77951,El Salvador,Sucursal-10,USB 64GB,Almacenamiento,5,83.33,App,Tarjeta
169,2026-01-15,29497,Mexico,Sucursal-7,Impresora Laser,Impresion,1,1644.81,Web,Transferencia
170,2025-01-06,43242,Estados Unidos,Sucursal-6,Audifonos BT,Audio,4,353.83,App,PayPal
171,2026-02-27,9129,Estados Unidos,Sucursal-15,Silla Ergonomica,Muebles,8,1510.49,App,Transferencia
172,2025-03-19,35349,Guatemala,Sucursal-10,Teclado Mecanico,Accesorios,3,519.55,Web,Efectivo
173,2025-08-05,95361,Honduras,Sucursal-20,Mouse Gamer X,Accesorios,3,210.47,Tienda,Efectivo
174,2025-11-05,95321,Mexico,Sucursal-24,Impresora Laser,Impresion,3,1549.9,Marketplace,PayPal
175,2025-05-14,6702,Estados Unidos,Sucursal-1,USB 64GB,Almacenamiento,4,89.95,App,Efectivo
176,2026-04-29,102813,Honduras,Sucursal-19,SSD 1TB,Almacenamiento,4,680.11,Web,PayPal
177,2026-04-06,9158,Honduras,Sucursal-21,Silla Ergonomica,Muebles,8,1656.17,Tienda,PayPal
178,2026-01-01,45616,Honduras,Sucursal-18,USB 64GB,Almacenamiento,7,88.09,Tienda,PayPal
179,2025-10-01,13762,El Salvador,Sucursal-17,Router WiFi 6,Redes,5,619.37,App,Tarjeta
180,2025-10-19,93769,Honduras,Sucursal-16,Router WiFi 6,Redes,6,641.25,App,Transferencia
181,2025-04-10,114395,Mexico,Sucursal-30,Audifonos BT,Audio,4,341.11,Tienda,Efectivo
182,2025-12-31,42883,Honduras,Sucursal-16,Impresora Laser,Impresion,1,1627.04,Web,Transferencia
183,2025-03-18,42369,Estados Unidos,Sucursal-9,USB 64GB,Almacenamiento,8,66.89,App,PayPal
184,2026-03-06,112521,Estados Unidos,Sucursal-17,USB 64GB,Almacenamiento,7,85.34,App,Efectivo
185,2025-10-17,34302,El Salvador,Sucursal-15,Audifonos BT,Audio,1,336.36,Tienda,Efectivo
186,2026-03-20,96410,Mexico,Sucursal-24,Audifonos BT,Audio,5,353.32,Web,Efectivo
187,2026-05-13,102868,Mexico,Sucursal-5,SSD 1TB,Almacenamiento,8,741.75,Marketplace,PayPal
188,2025-04-26,18005,Mexico,Sucursal-10,Router WiFi 6,Redes,2,826.53,Marketplace,Tarjeta
189,2025-05-22,103242,Honduras,Sucursal-16,Laptop Pro 14,Computadoras,5,7521.36,Web,Efectivo
190,2025-08-27,93912,Estados Unidos,Sucursal-15,SSD 1TB,Almacenamiento,2,671.88,Marketplace,PayPal
191,2026-05-08,83366,Estados Unidos,Sucursal-8,Router WiFi 6,Redes,7,602.84,Marketplace,Transferencia
192,2025-08-31,35224,Estados Unidos,Sucursal-23,Silla Ergonomica,Muebles,6,1740.28,App,Tarjeta
193,2026-01-21,85644,El Salvador,Sucursal-3,Teclado Mecanico,Accesorios,1,496.59,Web,Transferencia
194,2025-07-13,107654,Honduras,Sucursal-18,Audifonos BT,Audio,7,292.59,Marketplace,Transferencia
195,2025-07-09,35260,Estados Unidos,Sucursal-29,Router WiFi 6,Redes,1,657.48,Web,Efectivo
196,2025-01-13,70740,El Salvador,Sucursal-11,Router WiFi 6,Redes,6,733.68,App,Transferencia
197,2025-03-25,92242,El Salvador,Sucursal-23,SSD 1TB,Almacenamiento,2,698.73,Web,Transferencia
198,2025-07-26,43426,Estados Unidos,Sucursal-15,Monitor 24,Monitores,3,1175.04,Tienda,Transferencia
199,2025-09-07,54979,El Salvador,Sucursal-23,Monitor 24,Monitores,4,1315.28,Tienda,Efectivo
200,2026-03-27,49494,Estados Unidos,Sucursal-30,Laptop Pro 14,Computadoras,5,10196.78,App,Tarjeta
201,2025-03-01,58906,Estados Unidos,Sucursal-12,Silla Ergonomica,Muebles,2,1689.28,Marketplace,Transferencia
202,2025-09-17,117265,Honduras,Sucursal-19,Teclado Mecanico,Accesorios,2,438.14,Marketplace,Efectivo
203,2025-12-02,13075,Honduras,Sucursal-10,Audifonos BT,Audio,4,376.86,App,PayPal
204,2025-04-08,97269,Estados Unidos,Sucursal-13,Impresora Laser,Impresion,1,1516.08,App,Transferencia
205,2025-02-13,119814,El Salvador,Sucursal-20,Teclado Mecanico,Accesorios,5,534.95,App,PayPal
206,2025-03-01,18268,Honduras,Sucursal-9,Router WiFi 6,Redes,5,713.38,Web,Transferencia
207,2025-11-01,62060,Mexico,Sucursal-9,USB 64GB,Almacenamiento,7,72.62,Tienda,PayPal
208,2026-02-08,39427,El Salvador,Sucursal-13,Monitor 24,Monitores,2,1366.66,Web,Efectivo
209,2026-01-18,8904,El Salvador,Sucursal-27,SSD 1TB,Almacenamiento,2,559.45,Marketplace,Efectivo
210,2025-05-09,51877,Estados Unidos,Sucursal-28,Router WiFi 6,Redes,7,718.44,Marketplace,Efectivo
211,2025-06-05,38361,Guatemala,Sucursal-28,Laptop Pro 14,Computadoras,4,7784.83,App,Efectivo
212,2025-07-19,4776,Estados Unidos,Sucursal-19,Router WiFi 6,Redes,8,749.24,Tienda,Tarjeta
213,2026-05-01,21680,Guatemala,Sucursal-21,SSD 1TB,Almacenamiento,4,719.16,App,Transferencia
214,2025-04-20,14768,Honduras,Sucursal-20,Impresora Laser,Impresion,3,1596.62,Marketplace,Efectivo
215,2025-09-20,105297,Guatemala,Sucursal-22,Monitor 24,Monitores,5,1310.62,App,Transferencia
216,2026-04-30,94479,Guatemala,Sucursal-16,Silla Ergonomica,Muebles,5,1708.33,Tienda,Transferencia
217,2026-04-11,10090,El Salvador,Sucursal-24,Teclado Mecanico,Accesorios,1,491.38,Marketplace,Transferencia
218,2026-01-12,17541,Estados Unidos,Sucursal-16,Audifonos BT,Audio,8,371.9,Web,Transferencia
219,2026-02-26,89090,Mexico,Sucursal-7,Router WiFi 6,Redes,6,636.0,Marketplace,Efectivo
220,2025-09-18,85936,Guatemala,Sucursal-12,Monitor 24,Monitores,2,1279.18,Marketplace,Efectivo
221,2025-10-14,93810,Honduras,Sucursal-26,Impresora Laser,Impresion,4,1736.89,Web,PayPal
222,2025-03-06,31564,Estados Unidos,Sucursal-14,USB 64GB,Almacenamiento,5,68.01,Tienda,Transferencia
223,2026-04-16,511,Honduras,Sucursal-25,Laptop Pro 14,Computadoras,6,9210.89,Tienda,Efectivo
224,2026-04-06,28744,El Salvador,Sucursal-8,SSD 1TB,Almacenamiento,2,763.1,Tienda,Transferencia
225,2025-03-14,28396,Honduras,Sucursal-18,USB 64GB,Almacenamiento,1,81.76,Marketplace,Tarjeta
226,2025-12-03,26190,Estados Unidos,Sucursal-18,Router WiFi 6,Redes,7,749.34,Web,Transferencia
227,2025-06-12,51776,Honduras,Sucursal-9,Monitor 24,Monitores,2,1124.51,Marketplace,PayPal
228,2025-10-08,67330,Mexico,Sucursal-12,Teclado Mecanico,Accesorios,3,520.53,Web,Tarjeta
229,2025-10-07,82930,Mexico,Sucursal-18,Audifonos BT,Audio,5,360.84,App,Efectivo
230,2025-01-17,45580,El Salvador,Sucursal-25,Silla Ergonomica,Muebles,1,1400.03,Tienda,Tarjeta
231,2026-03-14,37912,Mexico,Sucursal-8,Teclado Mecanico,Accesorios,8,385.34,App,Transferencia
232,2025-02-07,108253,Estados Unidos,Sucursal-12,Impresora Laser,Impresion,1,1590.3,Tienda,Efectivo
233,2026-01-20,76620,Estados Unidos,Sucursal-23,Laptop Pro 14,Computadoras,8,7379.34,Marketplace,Tarjeta
234,2025-03-12,26057,Estados Unidos,Sucursal-16,Teclado Mecanico,Accesorios,4,529.26,App,PayPal
235,2025-07-22,79432,Estados Unidos,Sucursal-12,Impresora Laser,Impresion,5,1731.18,Web,Tarjeta
236,2026-01-26,22025,El Salvador,Sucursal-13,SSD 1TB,Almacenamiento,4,587.22,Web,Tarjeta
237,2026-01-29,42239,Guatemala,Sucursal-15,SSD 1TB,Almacenamiento,2,692.33,Web,PayPal
238,2025-07-02,15148,Estados Unidos,Sucursal-2,Laptop Pro 14,Computadoras,1,8252.64,App,Efectivo
239,2025-06-16,72192,Guatemala,Sucursal-26,SSD 1TB,Almacenamiento,6,726.19,Marketplace,Efectivo
240,2025-09-08,5739,Guatemala,Sucursal-7,Impresora Laser,Impresion,7,1533.39,Marketplace,Efectivo
241,2025-02-05,27013,El Salvador,Sucursal-3,Laptop Pro 14,Computadoras,6,7783.13,Tienda,Transferencia
242,2025-05-01,86308,El Salvador,Sucursal-19,Silla Ergonomica,Muebles,3,1452.95,Marketplace,PayPal
243,2026-03-13,83289,Guatemala,Sucursal-5,Router WiFi 6,Redes,1,710.61,Marketplace,Tarjeta
244,2025-01-13,117917,Honduras,Sucursal-12,Impresora Laser,Impresion,8,1438.09,Web,Efectivo
245,2025-09-08,119966,El Salvador,Sucursal-24,Monitor 24,Monitores,5,1367.81,Marketplace,PayPal
